,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
motherjones,44.23013024409141,69.74413182725523,72.62364764812122,69.56771127565096,69.56771127565096,72.62364764812122,69.74413182725523,44.23013024409141,85.18493734841294,62.549104241049825,49.89304800613361,68.52995033852136,68.52995033852136,53.15065834289135,70.36987469682589,85.9261659403279,72.81989643179065,73.61948678444523,67.1158024321894,27.93947345403748,100.0,90.18370013494467,68.95813423122166,79.17648339777637,67.77355282975994,91.65774923946745,35.009471946931356,74.44408238678304,69.8327289960014,65.21710036431148,65.83827354181504,39.976806766800024
nbc,72.13907281903028,62.62064374430807,69.56771127565096,53.66771166687151,53.66771166687151,69.56771127565096,62.62064374430807,72.13907281903028,36.890021557482775,89.65271141040722,51.85452095955154,22.741015089087092,15.588699417951801,41.01137916868797,97.68627593308626,48.00551832937459,69.8327289960014,41.056772496558324,97.68627593308626,42.156898327156554,90.18370013494467,100.0,69.92158713012141,56.10017242842855,23.332247160349095,30.24208271776885,29.365069817516154,56.77606737954388,43.184056886618926,39.66545799200283,54.190600629741816,34.231604864378795
npr,83.31549847893488,72.62364764812122,53.66771166687151,56.344741615901064,56.344741615901064,53.66771166687151,72.62364764812122,83.31549847893488,62.90818152397119,60.66669086246645,84.47906711561083,29.100306098763163,89.65271141040722,45.149609750772925,35.75508585439609,58.09667494143695,65.60401895893501,47.18826617955006,37.52945019332908,62.69232042819978,68.95813423122166,69.92158713012141,100.0,54.366228366588366,49.098070527897775,41.42118543312815,5.024515729480483,16.83457315267316,31.637382017119663,40.379501390966865,42.668177235509695,39.267497739389015
nypost,69.74413182725523,69.56771127565096,56.344741615901064,42.34229336069948,42.34229336069948,56.344741615901064,69.56771127565096,69.74413182725523,71.7573984977559,82.22794822168429,78.92097056791478,17.124742225572952,71.85233188065581,68.52995033852136,79.30542282081444,58.80531416156176,69.13107076215275,33.86633481928023,76.17875275875589,64.68253490875809,79.17648339777637,56.10017242842855,54.366228366588366,100.0,72.0431657292691,57.337036206360594,72.91855412056492,74.44408238678304,64.91063717737747,66.55087918818326,47.95406410434319,76.74736090592295
nytimes,62.62064374430807,53.66771166687151,42.34229336069948,71.47449392582126,71.47449392582126,42.34229336069948,53.66771166687151,62.62064374430807,44.23013024409141,51.41179459481151,86.11765559851757,81.4902074646901,89.65271141040722,71.85233188065581,79.30542282081444,86.11765559851757,46.33357052025051,79.04833747071848,78.05008621421428,24.422282154794406,67.77355282975994,23.332247160349095,49.098070527897775,72.0431657292691,100.0,44.03848064229966,76.17875275875589,68.95813423122166,72.91855412056492,79.04833747071848,45.73836086332522,60.66669086246645
pjmedia,72.62364764812122,56.344741615901064,71.47449392582126,57.46270058476025,57.46270058476025,71.47449392582126,56.344741615901064,72.62364764812122,72.13907281903028,85.18493734841294,73.31683237152104,90.74510373234504,36.63605683543767,22.498877538003505,70.73344828561903,40.830154100153656,56.77606737954388,76.06665215256554,67.77355282975994,70.73344828561903,91.65774923946745,30.24208271776885,41.42118543312815,57.337036206360594,44.03848064229966,100.0,69.8327289960014,86.31182382406062,67.60786306320767,69.13107076215275,75.18807360060848,67.44301651799513
rawstory,69.56771127565096,42.34229336069948,57.46270058476025,50.32223751362079,50.32223751362079,57.46270058476025,42.34229336069948,69.56771127565096,83.31549847893488,36.890021557482775,62.549104241049825,79.30542282081444,77.21246067237321,68.52995033852136,84.47906711561083,68.87202625507615,61.14596579112963,86.50878626788017,60.53082410507648,86.91160017992622,35.009471946931356,29.365069817516154,5.024515729480483,72.91855412056492,76.17875275875589,69.8327289960014,100.0,27.34759060425852,40.46935901341151,77.21246067237321,43.231187498723045,53.49472181184589
redstate,53.66771166687151,71.47449392582126,50.32223751362079,53.89937456006816,53.89937456006816,50.32223751362079,71.47449392582126,53.66771166687151,69.74413182725523,62.90818152397119,89.65271141040722,49.89304800613361,77.21246067237321,55.07560479208904,53.15065834289135,78.66851810318029,68.52995033852136,63.4168103570238,62.62064374430807,72.23531119703514,74.44408238678304,56.77606737954388,16.83457315267316,74.44408238678304,68.95813423122166,86.31182382406062,27.34759060425852,100.0,63.784489936425274,41.7878795816762,65.29413899629394,93.45580008996312
usatoday,56.344741615901064,57.46270058476025,53.89937456006816,41.97209561455655,41.97209561455655,53.89937456006816,57.46270058476025,56.344741615901064,62.62064374430807,71.7573984977559,60.66669086246645,51.85452095955154,68.52995033852136,60.66669086246645,60.66669086246645,62.052103792799485,52.75241755275506,75.18807360060848,63.5634369576612,60.395423447030225,69.8327289960014,43.184056886618926,31.637382017119663,64.91063717737747,72.91855412056492,67.60786306320767,40.46935901341151,63.784489936425274,100.0,58.288746197337225,78.66851810318029,78.17237080795053
vox,42.34229336069948,50.32223751362079,41.97209561455655,58.09667494143695,58.09667494143695,41.97209561455655,50.32223751362079,42.34229336069948,72.62364764812122,44.23013024409141,82.22794822168429,84.47906711561083,22.741015089087092,68.52995033852136,19.55024710479617,59.5263588036405,66.4709528596274,71.66278315232111,58.0328465342071,85.00535427466639,65.21710036431148,39.66545799200283,40.379501390966865,66.55087918818326,79.04833747071848,69.13107076215275,77.21246067237321,41.7878795816762,58.288746197337225,100.0,10.240626216462223,43.3255663046422
wapo,71.47449392582126,53.89937456006816,58.09667494143695,47.54424725811911,47.54424725811911,58.09667494143695,53.89937456006816,71.47449392582126,69.56771127565096,72.13907281903028,51.41179459481151,78.92097056791478,29.100306098763163,15.588699417951801,53.15065834289135,71.380813850743,66.4709528596274,86.31182382406062,39.79869600962677,68.44501077874139,65.83827354181504,54.190600629741816,42.668177235509695,47.95406410434319,45.73836086332522,75.18807360060848,43.231187498723045,65.29413899629394,78.66851810318029,10.240626216462223,100.0,73.31683237152104
wsj,57.46270058476025,41.97209561455655,47.54424725811911,59.00070507735315,59.00070507735315,47.54424725811911,41.97209561455655,57.46270058476025,53.66771166687151,83.31549847893488,85.18493734841294,86.11765559851757,17.124742225572952,89.65271141040722,41.01137916868797,70.36987469682589,62.26430245273031,41.42118543312815,42.94898785164251,88.43137966543131,39.976806766800024,34.231604864378795,39.267497739389015,76.74736090592295,60.66669086246645,67.44301651799513,53.49472181184589,93.45580008996312,78.17237080795053,43.3255663046422,73.31683237152104,100.0
