,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
lewrockwell,83.80393153160384,83.15583453939496,76.40455166747519,76.40455166747519,76.40455166747519,76.40455166747519,83.15583453939496,83.80393153160384,91.34283725407558,100.0,76.29138340031912,95.37255186617253,89.65271141040722,100.0,86.31182382406062,94.33255663046423,82.37920247680829,90.460271283581,86.91160017992622,100.0,100.0,94.82635570520361,94.33255663046423,85.73724696291063,82.99766989139266,91.34283725407558,73.72114617304926,94.33255663046423,80.36740026988936,94.33255663046423,100.0,86.11765559851757,90.74510373234504,96.72790004498155,93.0588277992588,95.9925123614105,100.0,89.65271141040722,86.91160017992622,95.37255186617253
motherjones,74.5490352639489,90.18370013494467,76.40455166747519,73.72114617304926,73.72114617304926,76.40455166747519,90.18370013494467,74.5490352639489,80.78076445356649,73.72114617304926,90.74510373234504,76.74736090592295,84.47906711561083,83.63950022490779,92.32624540163198,93.0588277992588,90.74510373234504,86.11765559851757,95.37255186617253,89.65271141040722,94.82635570520361,100.0,90.18370013494467,90.18370013494467,93.0588277992588,94.82635570520361,90.460271283581,97.68627593308626,76.40455166747519,93.0588277992588,83.15583453939496,93.0588277992588,94.33255663046423,94.33255663046423,82.99766989139266,87.32721136708753,96.72790004498155,89.39718432612673,94.82635570520361,94.33255663046423
nationalreview,71.7573984977559,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,73.72114617304926,76.40455166747519,71.7573984977559,83.63950022490779,73.61948678444523,79.04833747071848,93.0588277992588,86.91160017992622,100.0,78.54340569959523,90.460271283581,92.32624540163198,96.72790004498155,76.74736090592295,86.91160017992622,94.33255663046423,90.18370013494467,100.0,90.460271283581,90.18370013494467,90.18370013494467,93.0588277992588,94.82635570520361,90.460271283581,97.68627593308626,76.40455166747519,93.0588277992588,83.15583453939496,93.0588277992588,89.39718432612673,93.0588277992588,93.0588277992588,84.47906711561083,97.68627593308626,90.460271283581
nbc,83.15583453939496,76.40455166747519,76.74736090592295,76.74736090592295,76.74736090592295,76.74736090592295,76.40455166747519,83.15583453939496,61.701051948629946,84.47906711561083,74.13177852601804,76.74736090592295,90.18370013494467,95.37255186617253,95.9925123614105,90.460271283581,97.68627593308626,86.11765559851757,100.0,95.37255186617253,85.73724696291063,90.18370013494467,90.460271283581,100.0,83.80393153160384,79.96256180705257,86.91160017992622,81.7817184788306,81.34616021409988,88.43137966543131,93.0588277992588,83.15583453939496,90.18370013494467,81.34616021409988,93.0588277992588,81.34616021409988,100.0,89.39718432612673,93.0588277992588,93.0588277992588
npr,90.18370013494467,73.72114617304926,76.74736090592295,90.460271283581,90.460271283581,76.74736090592295,73.72114617304926,90.18370013494467,83.80393153160384,93.0588277992588,76.74736090592295,83.63950022490779,86.91160017992622,93.45580008996312,85.18493734841294,91.65774923946745,96.72790004498155,88.2022758337376,83.63950022490779,76.74736090592295,82.99766989139266,93.0588277992588,90.18370013494467,83.80393153160384,100.0,90.18370013494467,92.68336207140476,88.2022758337376,93.0588277992588,89.39718432612673,90.18370013494467,96.72790004498155,96.72790004498155,92.68336207140476,83.15583453939496,90.18370013494467,89.65271141040722,90.18370013494467,83.63950022490779,83.63950022490779
nypost,76.40455166747519,76.74736090592295,90.460271283581,75.84401156437751,75.84401156437751,90.460271283581,76.74736090592295,76.40455166747519,74.5490352639489,91.34283725407558,74.5490352639489,100.0,76.74736090592295,80.23153290665772,95.9925123614105,83.63950022490779,87.32721136708753,88.43137966543131,100.0,100.0,91.34283725407558,94.82635570520361,90.18370013494467,79.96256180705257,90.18370013494467,100.0,93.45580008996312,80.92054256716199,88.66511326092844,94.33255663046423,87.54021458143603,92.32624540163198,93.45580008996312,86.11765559851757,82.68567450815114,91.98502472282102,71.7573984977559,93.45580008996312,78.54340569959523,93.45580008996312
nytimes,76.40455166747519,76.74736090592295,75.84401156437751,76.29138340031912,76.29138340031912,75.84401156437751,76.74736090592295,76.40455166747519,71.7573984977559,80.78076445356649,100.0,83.63950022490779,95.37255186617253,89.65271141040722,89.65271141040722,93.0588277992588,85.00535427466639,87.97753708423154,83.31549847893488,83.63950022490779,73.72114617304926,90.460271283581,93.0588277992588,86.91160017992622,92.68336207140476,93.45580008996312,100.0,96.72790004498155,96.72790004498155,83.63950022490779,92.68336207140476,94.33255663046423,90.460271283581,93.0588277992588,96.72790004498155,90.18370013494467,86.50878626788017,96.72790004498155,74.5490352639489,96.72790004498155
pjmedia,73.72114617304926,90.460271283581,76.29138340031912,83.63950022490779,83.63950022490779,76.29138340031912,90.460271283581,73.72114617304926,83.15583453939496,83.63950022490779,73.72114617304926,76.29138340031912,83.63950022490779,86.50878626788017,86.91160017992622,90.460271283581,92.68336207140476,90.74510373234504,85.73724696291063,100.0,94.33255663046423,97.68627593308626,94.82635570520361,81.7817184788306,88.2022758337376,80.92054256716199,96.72790004498155,100.0,88.66511326092844,92.68336207140476,92.68336207140476,92.68336207140476,90.18370013494467,91.34283725407558,97.68627593308626,93.0588277992588,92.68336207140476,92.68336207140476,92.68336207140476,92.68336207140476
rawstory,76.74736090592295,75.84401156437751,83.63950022490779,78.54340569959523,78.54340569959523,83.63950022490779,75.84401156437751,76.74736090592295,90.18370013494467,61.701051948629946,73.61948678444523,90.74510373234504,95.37255186617253,89.65271141040722,95.37255186617253,93.0588277992588,76.29138340031912,95.37255186617253,93.0588277992588,86.11765559851757,80.36740026988936,76.40455166747519,90.460271283581,81.34616021409988,93.0588277992588,88.66511326092844,96.72790004498155,88.66511326092844,100.0,69.13107076215275,59.328442507507816,62.33530100583307,62.33530100583307,62.33530100583307,71.380813850743,59.99197082725847,62.9804149293802,60.32789641324954,62.33530100583307,72.13907281903028
redstate,76.74736090592295,76.29138340031912,78.54340569959523,76.74736090592295,76.74736090592295,78.54340569959523,76.29138340031912,76.74736090592295,76.40455166747519,83.80393153160384,84.47906711561083,79.04833747071848,76.74736090592295,89.65271141040722,76.74736090592295,95.9925123614105,96.72790004498155,90.74510373234504,87.97753708423154,90.74510373234504,94.33255663046423,93.0588277992588,97.68627593308626,88.43137966543131,89.39718432612673,94.33255663046423,83.63950022490779,92.68336207140476,69.13107076215275,100.0,92.68336207140476,92.68336207140476,87.54021458143603,91.65774923946745,91.65774923946745,91.65774923946745,91.65774923946745,89.91471060908508,95.37255186617253,91.34283725407558
