,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
fox,88.2022758337376,76.74736090592295,88.2022758337376,86.91160017992622,86.91160017992622,88.2022758337376,76.74736090592295,88.2022758337376,61.56152890713298,96.72790004498155,48.2635570520361,95.37255186617253,39.091461131739656,100.0,46.33357052025051,86.11765559851757,74.13177852601804,55.97839736073509,36.00555430954088,96.72790004498155,100.0,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,95.37255186617253,53.725518661725246,68.52995033852136,88.2022758337376,69.74413182725523,79.96256180705257,96.72790004498155,65.76001060657772,31.637382017119663,86.11765559851757,96.72790004498155,96.72790004498155,88.2022758337376,86.91160017992622,58.35296679555273,72.52604893445367
guardian,37.48661813494996,76.74736090592295,86.91160017992622,74.02851176222671,74.02851176222671,86.91160017992622,76.74736090592295,37.48661813494996,84.30755988829243,96.72790004498155,74.97324771840232,100.0,34.43541197089603,90.18370013494467,92.32624540163198,72.52604893445367,72.13907281903028,55.97839736073509,86.91160017992622,65.76001060657772,92.32624540163198,100.0,72.52604893445367,82.53176636589998,100.0,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155
huffingtonpost,58.5462255330243,88.2022758337376,74.02851176222671,32.86212211664014,32.86212211664014,74.02851176222671,88.2022758337376,58.5462255330243,76.74736090592295,86.91160017992622,18.459689295371952,90.18370013494467,34.43541197089603,88.2022758337376,82.53176636589998,95.37255186617253,80.78076445356649,54.54253464702508,96.72790004498155,31.637382017119663,88.2022758337376,72.52604893445367,100.0,95.37255186617253,81.34616021409988,90.460271283581,86.50878626788017,77.21246067237321,36.8476231795445,96.72790004498155,86.50878626788017,86.50878626788017,95.37255186617253,96.72790004498155,88.2022758337376,96.72790004498155,96.72790004498155,55.97839736073509,71.1943676694738,90.18370013494467,72.52604893445367,82.53176636589998,100.0,68.52995033852136,34.43541197089603,88.2022758337376
infowars,76.74736090592295,86.91160017992622,32.86212211664014,73.61948678444523,73.61948678444523,32.86212211664014,86.91160017992622,76.74736090592295,88.2022758337376,86.91160017992622,93.0588277992588,88.2022758337376,36.678313554485385,45.54140326789554,82.53176636589998,46.33357052025051,89.39718432612673,51.91014833692616,96.72790004498155,86.11765559851757,77.92847911309141,82.53176636589998,95.37255186617253,100.0,71.1943676694738,90.18370013494467,72.52604893445367,82.53176636589998,100.0,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376,86.50878626788017,96.72790004498155,85.00535427466639,85.00535427466639,53.609976705740166,74.5490352639489,95.37255186617253,81.34616021409988,90.460271283581,86.50878626788017
intercept,76.74736090592295,74.02851176222671,73.61948678444523,88.2022758337376,88.2022758337376,73.61948678444523,74.02851176222671,76.74736090592295,88.2022758337376,92.68336207140476,86.91160017992622,90.18370013494467,34.51711242385158,77.92847911309141,89.39718432612673,82.22794822168429,90.18370013494467,74.13177852601804,88.2022758337376,96.72790004498155,39.091461131739656,100.0,81.34616021409988,71.1943676694738,100.0,81.2032168226623,92.32624540163198,71.28743942272581,70.27967623763807,79.17648339777637,70.73344828561903,66.55087918818326,61.631227008159904,73.61948678444523,70.73344828561903,70.73344828561903,71.28743942272581,69.13107076215275,86.50878626788017,100.0,88.2022758337376,96.72790004498155,96.72790004498155,55.97839736073509,71.1943676694738,90.18370013494467
jacobinmag,88.2022758337376,32.86212211664014,88.2022758337376,96.72790004498155,96.72790004498155,88.2022758337376,32.86212211664014,88.2022758337376,37.48661813494996,61.56152890713298,79.04833747071848,88.2022758337376,88.2022758337376,68.52995033852136,87.97753708423154,72.52604893445367,76.74736090592295,77.09530031487091,86.11765559851757,96.72790004498155,100.0,68.52995033852136,90.460271283581,90.18370013494467,81.2032168226623,100.0,31.91201057404821,72.0431657292691,55.79636376831898,30.588277992587876,37.52945019332908,39.62111065635116,29.897597080592554,36.1730793238632,87.54021458143603,32.86212211664014,29.897597080592554,29.897597080592554,30.588277992587876,28.23724549866523,70.73344828561903,71.28743942272581,70.73344828561903,73.61948678444523,68.44501077874139,72.81989643179065
motherjones,86.91160017992622,73.61948678444523,96.72790004498155,88.2022758337376,88.2022758337376,96.72790004498155,73.61948678444523,86.91160017992622,58.5462255330243,84.30755988829243,96.72790004498155,96.72790004498155,88.2022758337376,68.52995033852136,68.52995033852136,72.52604893445367,36.678313554485385,83.63950022490779,76.29138340031912,88.2022758337376,88.2022758337376,34.43541197089603,86.50878626788017,72.52604893445367,92.32624540163198,31.91201057404821,100.0,63.4168103570238,66.7918123663747,69.8327289960014,88.43137966543131,71.66278315232111,83.15583453939496,81.34616021409988,66.4709528596274,81.34616021409988,62.90818152397119,74.02851176222671,66.4709528596274,66.4709528596274,71.66278315232111,69.8327289960014,57.71514969506818,29.897597080592554,30.43420072862294,29.897597080592554
nationalreview,74.02851176222671,88.2022758337376,88.2022758337376,100.0,100.0,88.2022758337376,88.2022758337376,74.02851176222671,76.74736090592295,76.74736090592295,96.72790004498155,48.2635570520361,96.72790004498155,76.74736090592295,34.43541197089603,80.78076445356649,96.72790004498155,71.1943676694738,54.54253464702508,86.91160017992622,88.2022758337376,88.2022758337376,77.21246067237321,82.53176636589998,71.28743942272581,72.0431657292691,63.4168103570238,100.0,86.91160017992622,95.37255186617253,100.0,58.35296679555273,72.52604893445367,88.2022758337376,71.1943676694738,82.22794822168429,96.72790004498155,67.03450639325088,36.00555430954088,86.91160017992622,96.72790004498155,96.72790004498155,88.2022758337376,86.11765559851757,54.307610780916924,81.2032168226623
nbc,32.86212211664014,96.72790004498155,100.0,86.11765559851757,86.11765559851757,100.0,96.72790004498155,32.86212211664014,76.74736090592295,88.2022758337376,86.91160017992622,74.97324771840232,95.37255186617253,76.06665215256554,88.2022758337376,79.96256180705257,90.18370013494467,73.61948678444523,55.43452714881531,58.35296679555273,96.72790004498155,100.0,36.8476231795445,100.0,70.27967623763807,55.79636376831898,66.7918123663747,86.91160017992622,100.0,100.0,88.2022758337376,96.72790004498155,96.72790004498155,55.97839736073509,71.1943676694738,90.18370013494467,72.52604893445367,82.53176636589998,100.0,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376
npr,73.61948678444523,88.2022758337376,86.11765559851757,86.91160017992622,86.91160017992622,86.11765559851757,88.2022758337376,73.61948678444523,88.2022758337376,88.2022758337376,86.91160017992622,18.459689295371952,100.0,39.091461131739656,100.0,82.53176636589998,90.18370013494467,61.84108513432398,61.631227008159904,72.52604893445367,95.37255186617253,100.0,96.72790004498155,68.52995033852136,79.17648339777637,30.588277992587876,69.8327289960014,95.37255186617253,100.0,100.0,74.5490352639489,71.1943676694738,76.74736090592295,68.52995033852136,72.52604893445367,76.29138340031912,100.0,74.13177852601804,77.09530031487091,83.63950022490779,71.1943676694738,73.61948678444523,61.84108513432398,76.74736090592295,71.1943676694738,71.1943676694738
nypost,88.2022758337376,100.0,86.91160017992622,56.344741615901064,56.344741615901064,86.91160017992622,100.0,88.2022758337376,86.91160017992622,37.48661813494996,92.68336207140476,93.0588277992588,90.18370013494467,34.43541197089603,100.0,81.4902074646901,100.0,76.74736090592295,55.97839736073509,88.2022758337376,95.37255186617253,90.18370013494467,86.50878626788017,34.43541197089603,70.73344828561903,37.52945019332908,88.43137966543131,100.0,88.2022758337376,74.5490352639489,100.0,71.1943676694738,74.5490352639489,71.1943676694738,76.74736090592295,68.52995033852136,72.52604893445367,76.29138340031912,100.0,74.13177852601804,77.09530031487091,83.63950022490779,71.1943676694738,73.61948678444523,61.84108513432398,76.74736090592295
nytimes,96.72790004498155,86.11765559851757,56.344741615901064,76.74736090592295,76.74736090592295,56.344741615901064,86.11765559851757,96.72790004498155,74.02851176222671,58.5462255330243,61.56152890713298,86.91160017992622,88.2022758337376,34.43541197089603,90.18370013494467,46.33357052025051,96.72790004498155,71.1943676694738,52.63924952848784,71.1943676694738,53.725518661725246,88.2022758337376,86.50878626788017,88.2022758337376,66.55087918818326,39.62111065635116,71.66278315232111,58.35296679555273,96.72790004498155,71.1943676694738,71.1943676694738,100.0,83.15583453939496,58.288746197337225,55.79636376831898,58.288746197337225,58.5462255330243,56.03924272863898,60.66669086246645,97.68627593308626,78.05008621421428,56.77606737954388,57.21174088873189,63.71065599624735,58.288746197337225,54.307610780916924
pbs,88.2022758337376,86.91160017992622,76.74736090592295,96.72790004498155,96.72790004498155,76.74736090592295,86.91160017992622,88.2022758337376,32.86212211664014,76.74736090592295,84.30755988829243,79.04833747071848,90.18370013494467,36.678313554485385,88.2022758337376,92.32624540163198,86.11765559851757,71.1943676694738,71.380813850743,82.22794822168429,68.52995033852136,86.11765559851757,95.37255186617253,100.0,61.631227008159904,29.897597080592554,83.15583453939496,72.52604893445367,96.72790004498155,76.74736090592295,74.5490352639489,83.15583453939496,100.0,93.45580008996312,62.26430245273031,33.825873717189424,35.21572612641535,33.825873717189424,37.48661813494996,31.28590094461272,35.796762741134295,74.44408238678304,60.66669086246645,35.05067038406874,42.156898327156554,44.42244071246253
pjmedia,100.0,56.344741615901064,96.72790004498155,82.22794822168429,82.22794822168429,96.72790004498155,56.344741615901064,100.0,73.61948678444523,76.74736090592295,76.74736090592295,96.72790004498155,88.2022758337376,34.51711242385158,45.54140326789554,82.53176636589998,72.52604893445367,74.13177852601804,56.344741615901064,96.72790004498155,88.2022758337376,86.91160017992622,96.72790004498155,100.0,73.61948678444523,36.1730793238632,81.34616021409988,88.2022758337376,55.97839736073509,68.52995033852136,71.1943676694738,58.288746197337225,93.45580008996312,100.0,66.4709528596274,29.897597080592554,70.73344828561903,100.0,86.50878626788017,100.0,88.2022758337376,96.72790004498155,96.72790004498155,55.97839736073509,71.1943676694738,90.18370013494467
rawstory,86.11765559851757,76.74736090592295,82.22794822168429,92.32624540163198,92.32624540163198,82.22794822168429,76.74736090592295,86.11765559851757,88.2022758337376,88.2022758337376,88.2022758337376,96.72790004498155,96.72790004498155,88.2022758337376,77.92847911309141,82.53176636589998,95.37255186617253,72.13907281903028,55.97839736073509,67.03450639325088,69.74413182725523,56.344741615901064,88.2022758337376,90.18370013494467,70.73344828561903,87.54021458143603,66.4709528596274,71.1943676694738,71.1943676694738,72.52604893445367,76.74736090592295,55.79636376831898,62.26430245273031,66.4709528596274,100.0,96.72790004498155,66.4709528596274,29.897597080592554,70.73344828561903,100.0,86.50878626788017,100.0,88.2022758337376,96.72790004498155,96.72790004498155,55.97839736073509
