,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
dailywire,58.80531416156176,69.92158713012141,69.92158713012141,62.33530100583307,62.33530100583307,69.92158713012141,69.92158713012141,58.80531416156176,81.4902074646901,69.92158713012141,69.56771127565096,70.55110040483402,70.55110040483402,70.36987469682589,100.0,88.43137966543131,100.0,88.43137966543131,93.0588277992588,74.44408238678304,100.0,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,95.37255186617253,93.0588277992588,80.23153290665772,95.37255186617253,93.0588277992588,74.13177852601804,76.86275933086262,93.0588277992588,69.74413182725523,93.0588277992588,80.23153290665772,93.0588277992588
economist,76.40455166747519,62.052103792799485,62.33530100583307,69.92158713012141,69.92158713012141,62.33530100583307,62.052103792799485,76.40455166747519,69.92158713012141,69.92158713012141,63.8584747124991,86.50878626788017,86.11765559851757,74.44408238678304,70.55110040483402,72.91855412056492,100.0,75.84401156437751,69.74413182725523,72.13907281903028,100.0,100.0,68.36029924585942,70.55110040483402,78.54340569959523,70.46034857307923,70.55110040483402,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0
federalist,100.0,69.92158713012141,69.92158713012141,60.19318599644665,60.19318599644665,69.92158713012141,69.92158713012141,100.0,74.13177852601804,87.54021458143603,93.45580008996312,86.11765559851757,73.61948678444523,74.44408238678304,86.11765559851757,79.30542282081444,78.17237080795053,97.68627593308626,93.0588277992588,100.0,74.44408238678304,68.36029924585942,100.0,95.37255186617253,81.92923735624956,86.11765559851757,88.2022758337376,78.66851810318029,86.11765559851757,78.05008621421428,80.36740026988936,73.61948678444523,86.11765559851757,86.11765559851757,70.55110040483402,70.55110040483402,69.74413182725523,70.46034857307923,70.55110040483402,79.04833747071848,68.36029924585942,70.55110040483402,78.54340569959523,70.46034857307923,70.55110040483402,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131
fox,69.92158713012141,62.33530100583307,60.19318599644665,65.83827354181504,65.83827354181504,60.19318599644665,62.33530100583307,69.92158713012141,74.13177852601804,57.905480070001445,62.052103792799485,86.11765559851757,100.0,72.13907281903028,73.61948678444523,88.43137966543131,81.4902074646901,97.68627593308626,80.23153290665772,70.55110040483402,72.13907281903028,70.55110040483402,95.37255186617253,100.0,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,78.05008621421428,86.11765559851757,86.11765559851757,84.47906711561083,85.9261659403279,86.11765559851757,95.37255186617253,81.92923735624956,86.11765559851757,88.2022758337376,78.66851810318029,86.11765559851757,78.05008621421428,80.36740026988936,73.61948678444523,86.11765559851757,86.11765559851757,70.55110040483402,70.55110040483402,69.74413182725523
freebeacon,62.052103792799485,69.92158713012141,65.83827354181504,57.905480070001445,57.905480070001445,65.83827354181504,69.92158713012141,62.052103792799485,58.80531416156176,59.06604264065884,90.74510373234504,73.61948678444523,100.0,70.46034857307923,100.0,68.36029924585942,92.68336207140476,81.4902074646901,93.0588277992588,86.11765559851757,100.0,78.54340569959523,81.92923735624956,100.0,100.0,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,86.11765559851757,70.55110040483402,100.0,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0
guardian,69.92158713012141,60.19318599644665,57.905480070001445,93.45580008996312,93.45580008996312,57.905480070001445,60.19318599644665,69.92158713012141,76.40455166747519,81.4902074646901,69.92158713012141,73.61948678444523,67.44301651799513,80.23153290665772,100.0,97.68627593308626,79.17648339777637,88.43137966543131,93.0588277992588,73.61948678444523,70.55110040483402,70.46034857307923,86.11765559851757,81.4902074646901,97.68627593308626,100.0,68.52995033852136,65.60401895893501,64.00690049479714,73.61948678444523,71.00912053632923,64.00690049479714,76.86275933086262,91.65774923946745,64.00690049479714,66.7918123663747,72.0431657292691,81.4902074646901,64.00690049479714,64.00690049479714,100.0,86.11765559851757,70.55110040483402,100.0,100.0,93.0588277992588,97.68627593308626,100.0,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757
huffingtonpost,62.33530100583307,65.83827354181504,93.45580008996312,69.92158713012141,69.92158713012141,93.45580008996312,65.83827354181504,62.33530100583307,100.0,69.92158713012141,69.92158713012141,100.0,64.30560358039135,87.54021458143603,80.23153290665772,84.47906711561083,81.4902074646901,100.0,97.68627593308626,100.0,86.11765559851757,70.55110040483402,88.2022758337376,88.43137966543131,100.0,68.52995033852136,100.0,72.23531119703514,71.380813850743,72.13907281903028,72.23531119703514,90.74510373234504,69.92158713012141,72.23531119703514,96.72790004498155,77.21246067237321,72.23531119703514,78.05008621421428,68.95813423122166,67.1158024321894,72.23531119703514,72.23531119703514,64.00690049479714,64.00690049479714,72.0431657292691,66.7918123663747,64.00690049479714,64.00690049479714,68.52995033852136,65.60401895893501,64.00690049479714,73.61948678444523,71.00912053632923,64.00690049479714,76.86275933086262,91.65774923946745
independent,69.92158713012141,57.905480070001445,69.92158713012141,71.85233188065581,71.85233188065581,69.92158713012141,57.905480070001445,69.92158713012141,69.92158713012141,74.13177852601804,69.92158713012141,69.56771127565096,70.55110040483402,72.13907281903028,74.44408238678304,88.43137966543131,79.04833747071848,74.44408238678304,81.34616021409988,100.0,73.61948678444523,100.0,78.66851810318029,100.0,81.4902074646901,65.60401895893501,72.23531119703514,100.0,83.63950022490779,83.63950022490779,81.34616021409988,83.15583453939496,83.63950022490779,96.72790004498155,78.66851810318029,83.63950022490779,89.65271141040722,76.74736090592295,83.63950022490779,78.54340569959523,77.09530031487091,70.73344828561903,83.63950022490779,83.63950022490779,74.44408238678304,72.23531119703514,72.23531119703514,86.11765559851757,78.05008621421428,72.23531119703514,72.23531119703514,71.380813850743,72.13907281903028,72.23531119703514,90.74510373234504,69.92158713012141
infowars,60.19318599644665,93.45580008996312,71.85233188065581,69.13107076215275,69.13107076215275,71.85233188065581,93.45580008996312,60.19318599644665,62.052103792799485,74.13177852601804,87.54021458143603,63.8584747124991,70.55110040483402,72.13907281903028,78.54340569959523,88.43137966543131,76.86275933086262,72.13907281903028,90.74510373234504,95.37255186617253,100.0,67.44301651799513,86.11765559851757,74.44408238678304,88.43137966543131,64.00690049479714,71.380813850743,83.63950022490779,100.0,83.63950022490779,78.54340569959523,78.54340569959523,76.74736090592295,78.17237080795053,78.54340569959523,74.86652334390904,74.5490352639489,78.54340569959523,70.18975069548344,65.91671618599466,78.54340569959523,83.63950022490779,73.21670756334608,65.21710036431148,78.54340569959523,78.54340569959523,88.2022758337376,70.73344828561903,83.63950022490779,83.63950022490779,96.72790004498155,78.54340569959523,83.63950022490779,83.63950022490779,81.34616021409988,83.15583453939496
intercept,65.83827354181504,69.92158713012141,69.13107076215275,61.214917104043046,61.214917104043046,69.13107076215275,69.92158713012141,65.83827354181504,69.92158713012141,58.80531416156176,57.905480070001445,93.45580008996312,86.50878626788017,70.55110040483402,72.0431657292691,74.44408238678304,72.0431657292691,100.0,97.68627593308626,93.0588277992588,100.0,64.30560358039135,78.05008621421428,72.13907281903028,100.0,73.61948678444523,72.13907281903028,83.63950022490779,83.63950022490779,100.0,84.47906711561083,65.29413899629394,93.0588277992588,93.0588277992588,90.18370013494467,92.68336207140476,93.0588277992588,80.23153290665772,86.50878626788017,93.0588277992588,73.51821764733582,71.28743942272581,93.0588277992588,65.29413899629394,84.47906711561083,72.7215955555241,93.0588277992588,93.0588277992588,76.17875275875589,68.78615581953284,59.5263588036405,78.54340569959523,78.54340569959523,77.09530031487091,83.63950022490779,78.54340569959523
